ExerciseMuscleID,MuscleID,percentInvolvement,ExerciseID
25,29,0,5
26,30,0,5
27,1,0,5
30,1,0,6
31,29,0,6
34,1,0,7
36,29,0,7
39,30,0,8
43,30,0,9
48,1,0,10
53,1,0,11
54,30,0,11
57,30,0,10
63,1,0,12
64,29,0,12
68,30,0,13
72,48,0,14
73,49,0,14
74,50,0,14
76,1,0,14
77,30,0,14
78,1,0,15
79,30,0,15
95,30,0,18
102,1,0,19
103,30,0,19
105,29,0,19
107,1,0,20
108,30,0,20
111,29,0,20
112,32,0,21
114,31,0,21
117,46,0,22
118,32,0,22
119,45,0,22
121,32,0,23
126,31,0,24
127,33,0,24
128,32,0,24
129,38,0,24
130,40,0,24
132,31,0,25
133,33,0,25
134,32,0,25
135,40,0,25
136,38,0,25
145,31,0,27
146,32,0,27
147,33,0,27
148,40,0,27
149,38,0,27
151,31,0,28
153,32,0,28
157,40,0,28
158,31,0,29
160,32,0,29
164,31,0,30
165,32,0,30
169,32,0,31
170,31,0,31
173,40,0,32
174,31,0,32
176,40,0,33
177,31,0,33
178,39,0,33
179,40,0,34
180,31,0,34
182,37,0,35
183,39,0,35
184,38,0,35
187,40,0,35
189,37,0,36
190,39,0,36
191,38,0,36
195,37,0,37
196,39,0,37
197,38,0,37
200,40,0,37
202,37,0,38
203,39,0,38
204,38,0,38
209,37,0,39
210,39,0,39
211,38,0,39
215,48,0,38
217,37,0,40
218,39,0,40
220,40,0,41
221,37,0,41
222,39,0,41
223,31,0,41
224,40,0,42
225,37,0,42
226,39,0,42
227,31,0,42
228,40,0,43
229,37,0,43
230,39,0,43
231,31,0,43
232,39,0,44
235,40,0,44
236,39,0,45
239,40,0,45
240,39,0,46
241,37,0,46
242,38,0,46
243,40,0,46
244,37,0,47
247,37,0,48
248,39,0,48
250,37,0,49
253,38,0,50
255,40,0,50
256,31,0,50
257,38,0,51
259,40,0,51
260,31,0,51
261,38,0,52
263,40,0,52
264,31,0,52
265,38,0,53
266,39,0,53
267,40,0,53
268,38,0,54
269,39,0,54
270,40,0,54
271,38,0,55
272,39,0,55
273,40,0,55
274,41,0,56
275,42,0,56
276,43,0,56
277,41,0,57
278,42,0,57
279,43,0,57
280,34,0,57
281,41,0,58
282,42,0,58
283,43,0,58
284,41,0,59
285,42,0,59
286,43,0,59
287,41,0,60
288,42,0,60
289,43,0,60
290,44,0,60
291,41,0,61
292,42,0,61
293,43,0,61
294,41,0,62
295,43,0,62
296,44,0,62
297,41,0,63
298,43,0,64
299,33,0,64
300,41,0,64
301,42,0,64
302,42,0,65
303,33,0,65
304,43,0,65
305,41,0,66
306,43,0,66
307,42,0,66
309,33,0,66
311,43,0,67
313,33,0,68
316,43,0,69
317,42,0,69
318,33,0,69
321,33,0,70
322,42,0,71
323,43,0,71
324,46,0,72
325,47,0,72
327,45,0,72
328,46,0,73
329,47,0,73
331,45,0,73
332,46,0,74
333,47,0,74
334,45,0,74
335,46,0,75
337,45,0,75
338,46,0,76
339,47,0,76
340,45,0,76
341,46,0,77
342,47,0,77
343,45,0,77
344,46,0,78
345,47,0,78
346,45,0,78
347,46,0,79
348,47,0,79
349,45,0,79
350,46,0,80
351,47,0,80
359,48,0,83
360,49,0,83
361,50,0,83
366,48,0,84
367,49,0,84
368,50,0,84
371,37,0,84
378,48,0,86
379,49,0,86
380,50,0,86
384,48,0,88
385,49,0,88
386,50,0,88
390,48,0,89
391,49,0,89
392,50,0,89
396,48,0,169
397,49,0,169
398,50,0,169
402,46,0,92
403,47,0,92
404,45,0,92
405,48,0,91
406,49,0,91
407,50,0,91
408,37,0,91
409,1,0,91
410,30,0,91
411,48,0,90
412,49,0,90
413,50,0,90
416,45,0,90
417,48,0,87
418,49,0,87
419,50,0,87
421,47,0,75
422,29,0,16
424,31,0,26
425,32,0,26
426,33,0,26
427,38,0,26
428,40,0,26
429,47,0,26
430,47,0,82
431,48,0,82
432,49,0,82
433,50,0,82
434,48,0,85
435,49,0,85
436,50,0,85
440,33,0,31
441,31,0,23
442,33,0,23
